CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
237770266,2021-12-13,12:25:00,12/13/2021,12:35:00,22.0,12/13/2021,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,PARK/PLAYGROUND,N.Y. POLICE DEPT,0,CENTRAL PARK,(null),(null),993700.0,224344.0,UNKNOWN,UNKNOWN,U,40.7824518600123,-73.9658782689495,"(40.7824518600123, -73.9658782689495)",PATROL BORO MAN NORTH,(null),<18,WHITE,F
227374659,2021-04-12,17:00:00,04/12/2021,19:00:00,13.0,04/26/2021,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,FRONT OF,STREET,N.Y. POLICE DEPT,0,(null),(null),(null),988886.0,207857.0,UNKNOWN,UNKNOWN,M,40.7372030985741,-73.9832725981497,"(40.7372030985741, -73.9832725981497)",PATROL BORO MAN SOUTH,(null),18-24,WHITE,F
247964273,2022-07-12,10:04:00,07/12/2022,10:13:00,67.0,07/13/2022,116,SEX CRIMES,596.0,OBSCENE MATERIAL - UNDER 17 YE,COMPLETED,FELONY,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),997843.0,175671.0,(null),(null),(null),40.6488507469884,-73.951016510623,"(40.6488507469884, -73.951016510623)",PATROL BORO BKLYN SOUTH,(null),18-24,BLACK,F
234298849,2021-09-14,20:00:00,09/14/2021,22:00:00,14.0,09/30/2021,104,RAPE,157.0,RAPE 1,COMPLETED,FELONY,MANHATTAN,INSIDE,HOTEL/MOTEL,N.Y. POLICE DEPT,0,(null),(null),(null),985764.0,213806.0,UNKNOWN,UNKNOWN,M,40.7535327012632,-73.9945368920152,"(40.7535327012632, -73.9945368920152)",PATROL BORO MAN SOUTH,(null),45-64,WHITE HISPANIC,F
233353429,2021-03-01,12:00:00,09/09/2021,12:00:00,9.0,09/09/2021,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,MANHATTAN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),987496.0,203963.0,UNKNOWN,UNKNOWN,M,40.7265156408036,-73.9882902437563,"(40.7265156408036, -73.9882902437563)",PATROL BORO MAN SOUTH,(null),<18,WHITE,M
265795792,2023-03-22,08:30:00,03/22/2023,11:00:00,101.0,03/28/2023,104,RAPE,153.0,RAPE 3,COMPLETED,FELONY,QUEENS,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),34216,1053639.0,158980.0,<18,WHITE HISPANIC,M,40.6027762300781,-73.7501173648331,"(40.6027762300781, -73.7501173648331)",PATROL BORO QUEENS SOUTH,(null),<18,BLACK,F
233523710,2021-08-01,12:50:00,,(null),40.0,09/14/2021,233,SEX CRIMES,170.0,"SEXUAL MISCONDUCT,INTERCOURSE",COMPLETED,MISDEMEANOR,BRONX,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,(null),(null),(null),1005028.0,234516.0,18-24,UNKNOWN,U,40.8103518634571,-73.924942325642,"(40.8103518634571, -73.924942325642)",PATROL BORO BRONX,(null),<18,UNKNOWN,F
232064897,2021-08-10,20:00:00,08/10/2021,23:00:00,110.0,08/11/2021,104,RAPE,155.0,RAPE 2,COMPLETED,FELONY,QUEENS,FRONT OF,PARK/PLAYGROUND,N.Y. POLICE DEPT,0,FLUSHING MEADOWS CORONA PARK,(null),(null),1019164.0,210169.0,18-24,WHITE HISPANIC,M,40.7434812638841,-73.8740035373971,"(40.7434812638841, -73.8740035373971)",PATROL BORO QUEENS NORTH,(null),<18,WHITE HISPANIC,F
272850917,2023-08-14,10:40:00,08/14/2023,10:50:00,62.0,08/14/2023,233,SEX CRIMES,175.0,"SEXUAL ABUSE 3,2",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,CONSTRUCTION SITE,N.Y. POLICE DEPT,0,(null),(null),(null),983431.0,158677.0,(null),(null),(null),40.6022161657077,-74.0029507988395,"(40.6022161657077, -74.0029507988395)",PATROL BORO BKLYN SOUTH,(null),25-44,WHITE HISPANIC,F
267358590,2021-11-14,12:30:00,11/14/2021,13:00:00,23.0,04/27/2023,104,RAPE,153.0,RAPE 3,COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,(null),(null),672,998751.0,226901.0,UNKNOWN,UNKNOWN,M,40.7894632995555,-73.9476340039424,"(40.7894632995555, -73.9476340039424)",PATROL BORO MAN NORTH,(null),18-24,WHITE HISPANIC,F
