Incident Reporting Date,Trafficking Type,Industry Sector,Recruitment Method,Transportation Method,Coercion Method,Trafficker Gender,Trafficker Age,Victim Gender,Victim Age,Info Source,Data Source,Country Code,Country,Location Type,Latitude,Longitude
2024-06-30,Child Sexual Exploitation,"Personal Sexual Servitude,Pornography,Servitude",Violence Threats Abuse,Unknown,"Minor,Sexual Abuse",Unknown,,,infants,Internet/URL,tah,US,United States,Arrest,40.78,-73.97
2024-01-17,"Child Sexual Exploitation,Forced Criminality","Personal Sexual Servitude,Servitude,Sexual Servitude",Violence Threats Abuse,Car,"Forced,Sexual Abuse",Unknown,,Female,17,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-10-14,"Child Trafficking,Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Servitude","Financial Inducement,Financial Obligation, Blackmail,Religious/Ritualistic Coercion",Car,"Forced,Minor",Unknown,,,minor,Internet/URL,tah,US,United States,Arrest,40.71,-74.01
2024-06-18,"Child Trafficking,Child Sexual Exploitation","Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude","Social Media,Violence Threats Abuse",Unknown,"Minor,Restricts Access to/Manipulates Children,Sexual Abuse",Male,25,"Male,Female","13-year-old,six years old,minor,teens",Internet/URL,tah,US,United States,Arrest,40.75,-73.86
2023-06-22,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude",Violence Threats Abuse,Unknown,Sexual Abuse,Unknown,"79,77",,,Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-01-03,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Pornography,Servitude",Violence Threats Abuse,Car,"Minor,Sexual Abuse",Female,56,,,Internet/URL,tah,US,United States,Trafficker_Origin_Nationality,40.65,-73.95
2023-03-11,"Child Trafficking,Sexual Exploitation","Personal Sexual Servitude,Servitude","Financial Inducement,Promise of Employment,Social Media",Boat,Sexual Abuse,Unknown,,,"minors,minor",Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2023-12-19,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude",Religious/Ritualistic Coercion,Car,Minor,Unknown,,Female,"underage,as young as 14,minors",Internet/URL,tah,US,United States,Unknown,40.78,-73.97
2024-01-31,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Servitude",,Unknown,Minor,Unknown,"70-year-old,52-year-old,34-year-old,67-year-old,46-year-old",,"minors,15-year-olds,Minor",Internet/URL,tah,US,United States,Unknown,40.79,-74.01
2024-09-17,"Child Sexual Exploitation,Forced Criminality,Sexual Exploitation","Arts and Entertainment,Personal Sexual Servitude,Prostitution/Brothel/Escort Agency,Servitude","Financial Inducement,Violence Threats Abuse",Unknown,"Forced,Physical Abuse/Threat or Force,Sexual Abuse",Male,54,"Female,Male",,Internet/URL,tah,US,United States,Arrest,40.78,-73.97
2023-03-16,"Child Sexual Exploitation,Sexual Exploitation","Personal Sexual Servitude,Servitude,Sexual Servitude","Financial Inducement,Financial Obligation, Blackmail,Violence Threats Abuse",Truck,"Forced,Minor,Sexual Abuse",Unknown,,,,Internet/URL,tah,US,United States,Unknown,40.66,-73.64
2023-06-04,"Child Sexual Exploitation,Sexual Exploitation","Accommodation/Hotel/Motel,Personal Sexual Servitude,Pre-School/Child Day Care Service,Servitude,Sexual Servitude",,Car,"Minor,Sexual Abuse",Unknown,,Female,,Internet/URL,tah,US,United States,Rescued,40.78,-73.97
